K,corruption,error_pct,acc,note
10,gaussian_noise,39.40,0.6060,ours_cifar10_c (multiple runs; 39.40% = canonical matching 0.7248 mean)
10,shot_noise,37.57,0.6243,
10,impulse_noise,39.86,0.6014,
10,defocus_blur,21.00,0.7900,
10,glass_blur,46.38,0.5362,
10,motion_blur,21.23,0.7877,
10,zoom_blur,19.61,0.8039,
10,snow,17.75,0.8225,
10,frost,17.27,0.8273,
10,fog,18.44,0.8156,
10,brightness,11.74,0.8826,
10,contrast,19.16,0.8084,
10,elastic_transform,31.57,0.6843,
10,pixelate,35.22,0.6478,
10,jpeg_compression,36.66,0.6334,
10,mean,27.52,0.7248,15-corruption mean (matches MEMORY.md)
