corruption,lambda,cos_clean,cos_corrupt,cos_adapted,cone_opened
gaussian_noise,1.7397039508038814,0.7902183532714844,0.9228066205978394,0.677553653717041,0.24525296688079834
shot_noise,2.0418361785723156,0.7902183532714844,0.9168728590011597,0.6647350192070007,0.25213783979415894
impulse_noise,2.703563276982304,0.7902183532714844,0.9061700701713562,0.7274097204208374,0.1787603497505188
defocus_blur,5.97241789408753,0.7902183532714844,0.8413744568824768,0.6558147072792053,0.18555974960327148
glass_blur,2.9005948731856015,0.7902183532714844,0.8944986462593079,0.6621244549751282,0.2323741912841797
motion_blur,2.0,0.7902183532714844,0.8394201397895813,0.6310238838195801,0.20839625597000122
zoom_blur,6.989724485888634,0.7902183532714844,0.8382641673088074,0.6693309545516968,0.1689332127571106
snow,2.0,0.7902183532714844,0.8520563840866089,0.6357622742652893,0.21629410982131958
frost,2.0,0.7902183532714844,0.8348753452301025,0.6170899271965027,0.21778541803359985
fog,2.0,0.7902183532714844,0.8314582705497742,0.6251129508018494,0.2063453197479248
brightness,2.0,0.7902183532714844,0.8227739930152893,0.6178141832351685,0.20495980978012085
contrast,2.0,0.7902183532714844,0.8437656760215759,0.6357244253158569,0.208041250705719
elastic_transform,3.25302496602907,0.7902183532714844,0.8710104823112488,0.6610026359558105,0.21000784635543823
pixelate,2.0,0.7902183532714844,0.8703611493110657,0.6398493647575378,0.23051178455352783
jpeg_compression,3.4888056365919127,0.7902183532714844,0.8687610030174255,0.6612113118171692,0.20754969120025635
