corruption,lambda,u_soft_hard_gap,mean_entropy_adapted
gaussian_noise,1.7397039508038814,0.06424052268266678,0.16109564900398254
shot_noise,2.0418361785723156,0.05100896582007408,0.14003399014472961
impulse_noise,2.703563276982304,0.05003363639116287,0.1300770789384842
defocus_blur,5.97241789408753,0.06891976296901703,0.16939464211463928
glass_blur,2.9005948731856015,0.06380988657474518,0.17519418895244598
motion_blur,2.0,0.04385383427143097,0.11301399767398834
zoom_blur,6.989724485888634,0.048616696149110794,0.12808039784431458
snow,2.0,0.038982830941677094,0.09442677348852158
frost,2.0,0.03284174203872681,0.08806787431240082
fog,2.0,0.03372694551944733,0.09518102556467056
brightness,2.0,0.01695958897471428,0.051252979785203934
contrast,2.0,0.023475749418139458,0.066647469997406
elastic_transform,3.25302496602907,0.06440254300832748,0.16788934171199799
pixelate,2.0,0.03903888911008835,0.11184333264827728
jpeg_compression,3.4888056365919127,0.06392636895179749,0.1654558926820755
