corruption,spearman_r,pearson_r,sink_match,lambda_auto,cos_clean,cos_corrupt,cos_adapted,cone_opened,u_soft_hard_gap,mean_entropy_adapted
brightness,0.9758,0.9731,True,7.1111,0.7902,0.8228,0.6484,0.1743,0.018,0.0584
contrast,0.9152,0.9608,True,5.9321,0.7902,0.8438,0.6615,0.1822,0.0406,0.1147
defocus_blur,0.9636,0.9709,False,5.9588,0.7902,0.8414,0.6556,0.1857,0.0686,0.1692
elastic_transform,0.9394,0.9292,True,3.2774,0.7902,0.871,0.6643,0.2067,0.0631,0.1543
fog,0.8667,0.9447,True,5.6846,0.7902,0.8315,0.6565,0.175,0.0503,0.1329
frost,1.0,0.9663,True,5.967,0.7902,0.8349,0.6454,0.1894,0.0445,0.1135
gaussian_noise,0.9394,0.947,True,1.7281,0.7902,0.9228,0.6782,0.2446,0.0651,0.1635
glass_blur,0.9636,0.9434,True,2.9127,0.7902,0.8945,0.6621,0.2324,0.063,0.1733
impulse_noise,0.9394,0.941,True,3.0662,0.7902,0.9062,0.7313,0.1749,0.0567,0.1411
jpeg_compression,0.8909,0.9679,False,5.6579,0.7902,0.8688,0.6823,0.1865,0.0787,0.1987
motion_blur,0.9515,0.9665,True,5.09,0.7902,0.8394,0.6581,0.1813,0.0555,0.1503
pixelate,0.9394,0.9519,True,2.5415,0.7902,0.8704,0.6456,0.2248,0.0412,0.12
shot_noise,0.9758,0.9484,True,2.0429,0.7902,0.9169,0.6644,0.2524,0.0488,0.1395
snow,0.9758,0.9697,False,6.9858,0.7902,0.8521,0.6695,0.1826,0.049,0.1364
zoom_blur,0.9515,0.9647,False,6.9859,0.7902,0.8383,0.6693,0.169,0.0492,0.1289
