method,step,online_acc,offline_acc,H_pbar,I_batch,pairwise_cos,overconf_wrong
CAMA,0,0.375,0.4495,2.0342,0.5599,0.9228,0.0089
CAMA,5,0.5033,,2.2645,1.2591,0.8633,0
CAMA,10,0.5659,0.6751,2.2703,1.6076,0.8229,0.0601
CAMA,15,0.6038,,2.25,1.7931,0.7802,0
CAMA,20,0.6307,0.7011,2.2891,1.9428,0.7469,0.1211
CAMA,25,0.6431,,2.2884,2.0294,0.7251,0
CAMA,30,0.6506,0.7079,2.2551,2.0152,0.7053,0.149
CAMA,35,0.6611,,2.2824,2.0762,0.7082,0
CAMA,40,0.6674,0.7148,2.2641,2.076,0.6899,0.17
CAMA,45,0.6709,,2.2676,2.1004,0.6797,0
CAMA,49,0.6743,0.7197,2.2887,2.1403,0.6748,0.1826
TENT,0,0.375,0.3765,2.0342,0.5599,0.9228,0.0307
TENT,5,0.3475,,1.3771,0.8887,0.8806,0
TENT,10,0.2827,0.1534,0.3879,0.2904,0.8872,0.784
TENT,15,0.2394,,0.1188,0.0993,0.9027,0
TENT,20,0.2098,0.1019,0.0246,0.0176,0.9314,0.8944
TENT,25,0.1879,,0.005,0.0031,0.9309,0
TENT,30,0.174,0.1004,0.0002,0.0001,0.9394,0.8992
TENT,35,0.1639,,0.0001,0.0,0.9399,0
TENT,40,0.1573,0.1002,0.0011,0.0005,0.9428,0.8996
TENT,45,0.1502,,0.0,0.0,0.9405,0
TENT,49,0.1463,0.1001,0.0001,0.0,0.9448,0.8997
baseline_clean,,,,,,0.7889,
baseline_corrupted,,,,,,0.9185,
