K,corruption,lambda_auto,c,c_negative,cos_angle,lambda_low,lambda_high,I_batch_step0,online_acc,offline_acc,cat_pct,killed,elapsed_s,grid_lam_low,grid_lam_high,grid_best_online,grid_best_offline,note
10,gaussian_noise,1.7397,-1.363,True,-0.3756,0.6433,4.7807,0.5986,0.6742,0.7195,0.1342,False,1914.7,,,,,
10,shot_noise,2.0418,-0.7603,True,-0.255,0.516,8.5589,0.6947,0.7088,0.7508,0.1241,False,1654.1,,,,,
10,impulse_noise,2.7036,-0.1913,True,-0.1491,0.7483,12.6165,0.9813,0.7655,0.8008,0.1071,False,1613.9,,,,,
10,defocus_blur,5.9724,-0.3048,True,-0.3166,1.8881,21.6476,1.2765,0.8324,0.8489,0.1058,False,1689.0,,,,,
10,glass_blur,2.9006,-0.6345,True,-0.4273,1.2347,6.8738,0.5604,0.6706,0.7263,0.1138,False,1662.8,,,,,
10,motion_blur,5.09,0.1866,False,0.2146,,,1.2315,0.8282,0.8482,0.1048,False,1079.4,,,,,
10,zoom_blur,6.9897,-0.1788,True,-0.243,1.5828,64.8251,1.3562,0.8479,0.865,0.1045,False,1652.2,,,,,
10,snow,6.9858,0.3994,False,0.3816,,,1.2653,0.8538,0.8739,0.1074,False,884.1,,,,,
10,frost,5.967,0.2294,False,0.4026,,,1.4023,0.8563,0.879,0.1066,False,871.5,,,,,
10,fog,3.3962,0.0065,False,0.0177,0.3319,115.3969,1.2599,0.8529,0.8786,0.1061,False,1659.8,,,,,
10,brightness,7.1111,0.1227,False,0.2803,,,1.5577,0.9161,0.926,0.1034,False,945.8,,,,,
10,contrast,3.3217,0.1232,False,0.1158,0.5603,63.5045,1.0186,0.8702,0.9096,0.1035,False,1682.5,,,,,
10,elastic_transform,3.253,-0.3596,True,-0.2777,0.8887,14.5074,0.9062,0.7495,0.7816,0.1053,False,1660.5,,,,,
10,pixelate,2.1443,0.0788,False,0.0306,0.3349,17.6729,0.7229,0.7774,0.8249,0.1144,False,1678.9,,,,,
10,jpeg_compression,3.4888,-0.0171,True,-0.0167,0.213,135.8486,0.984,0.7301,0.7532,0.1095,False,1667.9,,,,,
100,gaussian_noise,2.7668,-3.9444,True,-0.5866,1.6202,4.7334,0.8501,0.3599,0.4144,0.0442,False,1333.5,2.5,3.0,0.36,0.4145,
100,shot_noise,3.1245,-3.4392,True,-0.5025,1.5729,6.2458,0.9316,0.38,0.4357,0.0405,False,1129.2,3.0,3.5,0.3805,0.4367,
100,impulse_noise,2.3998,-3.6581,True,-0.5258,1.2489,4.703,1.0993,0.4393,0.4976,0.0447,False,1274.3,2.0,2.5,0.4392,0.4974,
100,defocus_blur,6.9508,-3.4073,True,-0.64,4.4077,11.0483,1.6724,0.5306,0.5675,0.0158,False,1284.7,6.5,7.0,0.5313,0.5701,
100,glass_blur,2.577,-2.8707,True,-0.609,1.5615,4.277,0.8168,0.3443,0.4068,0.0253,False,1184.1,2.5,,0.3444,0.4057,
100,motion_blur,8.3094,-1.839,True,-0.5289,4.3702,16.5103,1.6311,0.521,0.5513,0.0161,False,1515.8,,,,,
100,zoom_blur,8.5017,-2.2108,True,-0.6163,5.2291,13.8338,1.8625,0.5754,0.6032,0.0162,False,1316.0,,,,,
100,snow,9.2094,-0.0758,True,-0.0379,1.4359,350.6938,1.7417,0.5636,0.5913,0.0156,False,1328.4,,,,,
100,frost,12.236,-0.2991,True,-0.1614,1.8931,215.9088,1.8905,0.5636,0.5872,0.0178,False,1346.1,,,,,
100,fog,9.364,-0.8648,True,-0.3946,3.6777,24.3432,1.6706,0.5218,0.5614,0.0189,False,1311.8,,,,,
100,brightness,9.1379,-0.3653,True,-0.138,3.1018,52.1979,2.1008,0.6687,0.6916,0.0146,False,1194.8,,,,,
100,contrast,7.4072,-1.4921,True,-0.4635,3.4075,16.9806,1.2724,0.5296,0.6079,0.0248,False,1006.6,,,,,
100,elastic_transform,6.5466,-1.5759,True,-0.5489,3.543,12.1752,1.1664,0.4149,0.4602,0.0204,False,1007.0,,,,,
100,pixelate,3.4731,0.0175,False,0.0169,0.2619,44.2171,1.0396,0.4437,0.5183,0.0212,False,1007.7,,,,,
100,jpeg_compression,6.9689,0.4087,False,0.1745,0,0,1.322,0.421,0.4479,0.0201,False,1003.7,,,,,
1000,gaussian_noise,1.0688,-11.599,True,,,,1.3777,0.2775,0.2802,0.0039,False,14859.7,,,,,no_bk_scaling;rerun_needed
1000,shot_noise,1.0609,-7.0348,True,,,,1.6384,0.2969,0.3137,0.0039,False,14767.1,,,,,no_bk_scaling;rerun_needed
1000,impulse_noise,1.3344,-8.8526,True,,,,1.6135,0.2942,0.2983,0.0034,False,14872.9,,,,,no_bk_scaling;rerun_needed
1000,defocus_blur,3.9090,-5.0598,True,,,,2.0013,0.3169,0.3129,0.0023,False,14889.9,,,,,inst38_bk_scaling(lambda_eff=1.1862)
1000,glass_blur,3.4077,-5.9548,True,,,,1.8173,0.1559,0.095,0.0033,False,14741.9,,,,,no_bk_scaling;rerun_needed
